operator,input_storage_error,weight_storage_error,accumulation_error,demote_error,statistics_computation_error,output_storage_error,bias_storage_error,affine_params_error,max_subtraction_error,exponential_error,sum_accumulation_error,pooling_storage,pooling_accumulation,pooling_demotion,matmul1_accumulation_error,scaling_error,softmax_numerical_error,matmul2_accumulation_error,output_demote_error
Conv2D,4.5711684837745754e-05,3.9520510226793705e-05,5.311073782407523e-05,5.856615394198646e-05,,,,,,,,,,,,,,,
LayerNorm,0.0023423904094845055,0.00042166313230991364,,,0.00024387221224606037,0.0003869506686925888,0.0003033597521483898,,,,,,,,,,,,
BatchNorm,0.009246643447875976,,,,0.006757951331138611,0.00856063733100891,,0.008485772740840912,,,,,,,,,,,
ReLU,7.64270464835237e-06,,,,,2.3282737749985573e-08,,,,,,,,,,,,,
Softmax,0.006834690900146961,,,,,0.0042191348880529405,,,0.0041567588225007055,0.004168061106652021,0.004240851387754083,,,,,,,,
AvgPooling,,,,,,,,,,,,0.00028626698911184573,1.663658029428916e-07,0.0009394157648086548,,,,,
MaxPooling,,,,,,,,,,,,0.0003816816819209028,1.9127349102442772e-07,0.0009394157648086548,,,,,
Linear,0.00020899212388903835,0.00017217415227205492,0.00026033031432307323,,,0.00023814179165638051,0.00015784485001349823,,,,,,,,,,,,
MatMul,0.00010903962714346563,8.99666616713148e-05,0.00013317202237794846,0.00012218646492237896,,,,,,,,,,,,,,,
GEMM,6.643174117930357e-05,1.6799483700060592e-05,0.0002588983043155167,3.678335654044531e-05,,,,,,,,,,,,,,,
Attention,0.00017475787389931944,,,,,,,,,,,,,,0.00012096571210870152,0.00012096780211092437,0.00013099655363054655,0.00018660472292974048,0.00017647314906222303
